2 20.649 [19.47044414292179, 21.827555857078213]
3 50.181 [48.40768610858602, 51.954313891413975]
4 79.348 [77.08682929939394, 81.60917070060606]
5 96.214 [93.98898227252454, 98.43901772747546]
6 121.244 [118.6355607672284, 123.8524392327716]
7 142.02 [139.14810924182657, 144.89189075817345]
8 157.166 [154.2499605752137, 160.0820394247863]
9 175.986 [172.80773978083906, 179.16426021916092]
10 194.135 [190.97887931597484, 197.29112068402515]
11 209.884 [206.51682263475638, 213.2511773652436]
12 229.017 [225.66765224062112, 232.36634775937887]
13 245.75 [242.15271288952655, 249.34728711047345]
14 259.426 [255.6967388077749, 263.1552611922251]
15 276.193 [272.59270153597635, 279.7932984640236]
16 290.671 [287.103255664328, 294.238744335672]
17 312.029 [308.2138757767751, 315.84412422322487]
18 324.315 [320.3941873172672, 328.2358126827328]
19 341.885 [338.00146117794316, 345.7685388220568]
20 353.093 [349.1663099357907, 357.0196900642093]
25 428.781 [424.2997014512748, 433.2622985487252]
30 503.771 [499.13905954879675, 508.4029404512033]
35 573.506 [568.7034323091298, 578.3085676908702]
40 643.264 [638.0925904369669, 648.4354095630331]
